1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
728,728.0,3.0,No,0,Unf,728,0.0,429,RFn,2006.0,1456,TA,15578,105.0,0,5,6,728,2006,2006
1344,0.0,3.0,Gd,1309,GLQ,35,0.0,784,Fin,1997.0,1344,TA,7060,78.0,0,5,7,1344,1997,1998
1362,720.0,3.0,No,0,Unf,1362,0.0,484,Unf,2003.0,2082,Gd,11426,63.0,238,5,7,1362,2003,2003
1436,884.0,3.0,No,774,ALQ,104,0.0,180,Unf,1945.0,2320,Gd,7259,61.0,0,8,6,1028,1945,2002
1378,994.0,4.0,No,0,Unf,994,0.0,432,RFn,1985.0,2372,TA,6600,60.0,287,4,5,994,1892,1965
1496,0.0,3.0,Av,0,Unf,1496,0.0,474,Unf,2007.0,1496,Gd,9158,76.0,130,5,8,1496,2007,2007
788,0.0,2.0,No,266,Rec,522,0.0,0,None,1982.5,788,TA,7446,66.0,0,5,4,788,1941,1950
864,864.0,3.0,No,503,Rec,361,0.0,673,RFn,2003.0,1728,Gd,8791,64.0,56,5,6,864,2003,2003
1014,685.0,3.0,Mn,440,BLQ,538,0.0,420,Unf,1920.0,1699,TA,10615,107.0,74,5,3,978,1900,1970
1060,0.0,3.0,No,840,GLQ,200,0.0,572,Unf,1976.0,1060,TA,4224,44.0,110,7,5,1040,1976,1976
1048,0.0,2.0,No,0,Unf,993,0.0,280,Unf,1922.0,1048,TA,6380,58.0,0,6,5,993,1922,1950
1203,1323.0,4.0,No,740,GLQ,425,0.0,844,Unf,1994.0,2526,Gd,10120,92.0,78,5,8,1165,1994,1994
968,0.0,2.0,No,0,Unf,968,0.0,480,Unf,1935.0,968,TA,8520,60.0,0,6,5,968,1923,2006
1163,0.0,3.0,No,256,ALQ,906,0.0,220,Unf,1955.0,1163,TA,5820,49.0,98,8,3,1162,1955,2005
1228,0.0,3.0,No,0,Unf,1228,0.0,271,Unf,1966.0,1228,Gd,8544,66.0,65,6,5,1228,1966,2006
1593,0.0,0.0,Av,1153,GLQ,440,0.0,682,Fin,2001.0,1593,Ex,4923,41.0,120,5,8,1593,2001,2002
1188,0.0,3.0,No,1000,Rec,188,0.0,531,RFn,1959.0,1188,TA,12160,66.0,0,5,5,1188,1959,1959
1166,1129.0,4.0,No,728,GLQ,367,0.0,590,RFn,1992.0,2295,Gd,13346,66.0,40,5,7,1095,1992,2000
816,0.0,2.0,Mn,690,ALQ,126,0.0,288,Unf,1958.0,816,TA,8877,67.0,0,6,4,816,1938,1958
1283,0.0,3.0,No,504,Rec,319,0.0,506,Unf,1980.0,1283,TA,7763,70.0,0,7,5,931,1962,1980
803,0.0,2.0,Av,116,BLQ,604,244.0,360,Unf,1941.0,803,TA,5000,50.0,0,6,5,720,1941,1950
1375,0.0,2.0,No,0,Unf,1367,0.0,451,Unf,1954.0,1375,TA,11310,75.0,30,5,6,1367,1954,1954
